CLAIM_ID,Claim Name
0,No Claim
8,low carb
15,beans
16,cocoa
26,vanilla
32,stroganoff
38,cumin
39,high/source of protein
40,no additives/preservatives
58,buckwheat
59,tutti frutti
65,ethical - not specific
73,brown ale
75,french bisque
79,pheasant
80,whitebait
81,gmo free
100,low calorie
101,peach
120,crab
125,nuts
138,venison
139,fruit
142,convenience - easy-to-prepare
143,anchovy
144,pomegranate
145,scallop
147,american gumbo
148,tuna
151,low sodium
152,low sugar
157,french
158,chicken
163,ethical - packaging
171,cherry
173,vitamin/mineral fortified
177,liver
178,red raspberry
185,cookie
186,pollock
187,blueberry
191,bone health
192,prebiotic
193,poultry
197,cheddar cheese
207,energy/alertness
211,halal
220,herbs
222,pizza
224,american southwest style
227,salmon
228,beef hamburger
287,tilapia
384,mackerel
385,peanut
388,lobster
393,sea salt
430,soy foods
432,apple cinnamon
433,gingerbread
437,vegetarian
438,ethnic & exotic
440,cream
441,berry
507,meat
508,cola
509,toffee
510,digestive/gut health
514,white cheddar cheese
516,microwaveable
517,brownie
519,health (active)
521,blood orange
526,ethical
529,quail
531,sardine
536,mango
541,fish
543,allergy
552,pepper
555,natural
556,kosher
558,low cholesterol
566,parmesan cheese
567,weight management
574,wholegrain
576,health (passive)
583,heart meat
585,garlic
587,convenience - time saving
593,dill
594,hfcs free
600,choice
601,cinnamon
605,pleasure
606,hemp seeds
608,carrot
613,sugar free
615,sweet potato
616,indulgent & premium
618,green tea
620,added protein
622,cheese
632,pork
634,garden pea
650,added calcium
657,low gi
659,parsley
668,probiotic
670,boar
673,blackberry
677,orange
681,cashew nut
682,lamb
683,skin health
684,seafood
689,vegetables
702,convenience - ready prepared
704,peanut butter
707,no added sugar
713,added fiber
716,herring
720,vegan
727,seaweed
732,pumpkin
737,strawberry
738,chili
741,lactose free
743,dandelion greens
747,dry
754,antioxidant
755,single shot
761,brain health
769,shortbread
770,rabbit
776,hickory smoked
777,beef
780,broccoli
782,organic
785,trout
788,co-branding
789,green bean
799,smoked
803,egg
813,convenience - consumption
816,mint
821,bacon
823,crawfish
832,carob
839,"functional, not specified"
842,cranberry
843,snickerdoodle
844,heart health
847,convenience - packaging
852,eye health
860,ethical - animal/fish & bird
867,coconut
868,cloves
869,ethical - environment
870,ethical - human
873,butterscotch
876,caramel
877,red apple
884,duck
887,spinach
889,high/source of fiber
900,ricotta cheese
901,joint health
903,omega-3
904,anti-aging/aging-well
906,yogurt
907,dha
908,sticks
913,celery
915,peppermint
916,gluten free
918,herbal
919,butternut squash
922,traditional
928,convenience
929,sausage
930,immune health
931,economy
937,sports & recovery
941,butter
944,no trans fats
946,turkey
948,sole
949,passion fruit
957,rosemary
958,refill
959,others
960,red tomato
963,tarragon
964,shrimp
965,low fat
967,seasonal/in-out products
970,roquefort cheese
974,diabetic
977,cod
979,added iron
980,honey
981,milk chocolate
982,kale
983,papaya
984,banana
985,seeds
999,oral health
